"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"2048";"Annehem Fastigheter";"Sverige";"ANNE B";"Finans & Fastighet";"1548,6";"18,0";"1,0";"0,56";"0,6";"35,0";"12,6";"-4,8";"3,4%";"1,9%";"79,8%";"36,0%";"28,6%";;"0,4";"11,4%";"20,6";"1,7%";"-3,7%";"11,1%"
"1446";"Annexin";"Sverige";"ANNX";"Hälsovård";"102,4";"-2,8";;"1,02";"4,1";"-2,0";;"-2,8";"-148,0%";;;;;"1";"5,5";;;"-24,1%";"-48,2%";"-54,4%"
"2257";"Anora Group";"Finland";"ANORA";"Dagligvaror";"2928,1";"47,5";"-1,0";"0,45";"0,7";"15,2";"0,6";"7,0";"1,4%";"1,1%";"44,4%";"3,6%";"0,8%";"5";"1,2";"-2,2%";"1,7";"5,2%";"23,2%";"11,2%"
"13";"Anoto";"Sverige";"ANOT";"Informationsteknik";"49,8";"-0,6";;"0,27";"36,4";"-1,4";"3,6";"-1,1";"-6488,9%";"-390,8%";"54,6%";"-257,3%";"-430,1%";"3";"0,3";"-31,4%";"-0,5";"-9,6%";"-22,1%";"15,9%"
"792";"Apetit";"Finland";"APETIT";"Dagligvaror";"980,0";"9,6";"1,6";"0,11";"0,8";"7,4";"0,6";"43,2";"8,1%";"7,5%";"39,9%";"8,2%";"5,4%";"5";"2,6";"-2,7%";"0,7";"-0,4%";"0,0%";"-5,5%"
"2556";"Apotea";"Sverige";"APOTEA";"Dagligvaror";"5873,8";"25,4";"4,9";"0,67";"7,0";"20,7";"0,9";"49,4";"26,6%";"21,2%";"27,2%";"4,1%";"3,2%";"5";"1,3";"13,8%";"0,7";"-40,7%";"-41,7%";"-28,6%"
"2605";"Appear";"Norge";"APR";"Informationsteknik";"2572,7";;;;;;;;;;;;;"1";;;;"-27,8%";;
"2613";"APR Technologies";"Sverige";"APRTEC";"Industri";"256,2";;;;;;;;;;;;;"1";;;;;;
"767";"Aptahem";"Sverige";"APTA";"Hälsovård";"17,4";"-2,7";;"0,34";"0,3";"-2,2";;"-1,8";"-9,6%";"-10,1%";;;;"1";"2,9";;;"-8,2%";"-46,1%";"36,8%"
"505";"AQ Group";"Sverige";"AQ";"Industri";"16988,9";"25,1";"16,6";"1,34";"3,6";"19,7";"1,8";"27,7";"14,4%";"16,3%";"51,2%";"9,3%";"7,5%";"6";"2,6";"8,7%";"-0,4";"-2,7%";"-8,5%";"5,8%"
"1156";"Aqua Bio Technology";"Norge";"ABTEC";"Dagligvaror";"106,7";"-0,1";;"2,15";"2,8";"-0,4";"1,3";"10,4";"-4293,6%";"-458,9%";"-1,3%";"-319,1%";"-327,5%";"1";"0,3";"143,2%";"-0,4";"-72,3%";"-80,0%";"-79,1%"
"2244";"Aquaticus Real Estate";"Sverige";"AQUAT";"Finans & Fastighet";"155,5";"12,1";"-0,6";"0,26";"0,5";"33,1";"10,2";"5,1";"4,1%";"4,4%";"86,3%";"30,9%";"24,5%";;"0,1";"6,3%";"23,5";"-13,7%";"-10,6%";"-21,1%"
"1041";"Archer";"Norge";"ARCH";"Energi";"2587,6";"-6,1";;"0,94";"1,1";"12,6";"0,6";"8,2";"-18,8%";"-6,2%";"100,0%";"4,9%";"-3,4%";"4";"1,0";"13,3%";"3,4";"15,0%";"3,1%";"5,5%"
"433";"Arcoma";"Sverige";"ARCOMA";"Hälsovård";"118,8";"23,6";"-0,4";"0,27";"1,6";"13,4";"0,6";"9,1";"6,7%";"12,8%";"42,1%";"4,8%";"3,8%";"4";"3,5";"1,5%";"-2,6";"15,9%";"-10,2%";"-17,0%"
"2085";"Arctic Bioscience";"Norge";"ABS";"Dagligvaror";"89,1";"-1,9";;"0,04";"0,4";"-3,4";"3,1";"-1,1";"-22,2%";"-19,6%";"35,4%";"-90,5%";"-98,6%";"2";"0,8";"8,7%";"-1,5";"-2,7%";"-13,0%";"-15,5%"
"2391";"Arctic Blue Beverages";"Sverige";"ARCTIC";"Dagligvaror";"8,9";"-0,6";;"0,68";"-1,0";"-1,4";"3,9";"-0,7";;;"16,4%";"-277,4%";"-313,5%";"2";"0,4";"-19,3%";"-0,8";"-29,4%";"-75,3%";"-91,2%"
"2608";"Arctic Falls";"Sverige";"ARFA";"Industri";"675,9";"18,4";;;"5,0";"15,4";"5,2";"11,9";"27,1%";"14,0%";"92,6%";"33,5%";"23,2%";"6";"1,2";"12,3%";"2,0";"-16,5%";;
"2084";"Arctic Fish";"Norge";"AFISH";"Dagligvaror";"1372,1";"-53,2";;"0,25";"13,6";"-74,3";"16,5";"-42,9";"-25,5%";"-11,1%";"33,1%";"-22,2%";"-28,0%";"2";"3,6";"16,3%";"-13,6";"-5,7%";"-34,2%";"-53,0%"
"262";"Arctic Minerals";"Sverige";"ARCT";"Material";"275,1";"-13,1";;"0,35";"2,3";"-12,1";;"-12,1";"-17,3%";"-19,3%";;;;"1";"5,1";;;"17,9%";"29,4%";"103,8%"
"381";"Arctic Paper";"Sverige";"ARP";"Material";"1392,7";"-16,1";;"0,42";"0,4";"-8,3";"0,2";"-2,4";"-1,9%";"-1,7%";"11,4%";"-2,5%";"-1,0%";"3";"1,8";"-12,6%";"3,1";"-6,9%";"-9,9%";"-51,5%"
"1046";"ArcticZymes";"Norge";"AZT";"Hälsovård";"1052,1";"103,4";"3,4";"0,75";"3,0";"298,5";"7,4";"49,4";"2,9%";"6,4%";"101,1%";"2,5%";"8,8%";"7";"16,4";"-6,3%";"-15,3";"-8,3%";"-21,6%";"11,5%"
"1128";"Arendals Fossekompani";"Norge";"AFK";"Kraftförsörjning";"9314,5";"-102,2";;"0,39";"1,9";"282,9";"2,4";"133,0";"-1,7%";"-1,7%";"60,7%";"0,9%";"-2,3%";"4";"1,7";"-6,6%";"0,0";"19,6%";"18,8%";"28,8%"
"2610";"Argo Defence";"Sverige";"ARGO";"Industri";"330,4";;;;;;;;;;;;;"1";;;;"-0,9%";;
"1710";"Arion Banki";"Sverige";"ARION SDB";"Finans & Fastighet";"19454,0";"8,4";"0,4";"0,30";"1,2";"5,9";"3,4";"6,5";"14,1%";"1,9%";"64,0%";"57,4%";"39,1%";;;"-2,1%";;"-5,2%";"-2,5%";"22,3%"
"1574";"Arjo";"Sverige";"ARJO B";"Hälsovård";"6863,7";"20,5";"-0,6";"0,67";"0,9";"16,5";"1,0";"9,4";"4,5%";"3,2%";"42,6%";"6,1%";"3,0%";"6";"1,2";"3,3%";"2,3";"-19,5%";"-23,6%";"-34,2%"
"2147";"Arla Plast";"Sverige";"ARPL";"Industri";"944,1";"10,7";"-1,1";"0,69";"1,4";"7,8";"0,6";"6,4";"12,9%";"14,1%";"22,9%";"8,0%";"6,2%";"6";"3,1";"14,4%";"-0,2";"-3,0%";"-25,0%";"-10,7%"
"2248";"Arlandastad";"Sverige";"AGROUP";"Finans & Fastighet";"2504,9";"18,8";"0,1";"0,45";"0,5";"-32,3";"6,2";"-15,4";"2,9%";"1,9%";"21,8%";"-19,1%";"35,3%";;"0,8";"8,4%";;"10,3%";"20,0%";"37,5%"
"1035";"Arribatec";"Norge";"ARR";"Informationsteknik";"483,1";"13,3";"0,1";"0,08";"1,5";"12,2";"0,7";"11,4";"8,2%";"9,5%";"74,4%";"5,8%";"4,3%";"4";"1,5";"4,7%";"-0,7";"-10,5%";"-8,1%";"113,8%"
"1793";"Ascelia Pharma";"Sverige";"ACE";"Hälsovård";"383,1";"-4,5";;"1,02";"3,8";"-4,5";;"-5,3";"-76,7%";"-153,5%";;;;"1";"4,4";;;"-5,2%";"-23,3%";"-4,6%"
"2533";"Asetek";"Danmark";"ASTK";"Informationsteknik";"798,7";"-0,9";;"0,84";"0,5";"-2,1";"0,8";"-2,5";"-58,2%";"-42,0%";"41,8%";"-36,7%";"-45,6%";"4";"1,2";"-13,0%";"-1,0";"1,7%";"110,4%";"133,8%"
"2573";"Asker Healthcare";"Sverige";"ASKER";"Hälsovård";"24917,9";"50,7";"1,4";"0,62";"3,8";"29,5";"1,8";"-15,8";"7,5%";"4,2%";"40,9%";"6,0%";"2,9%";"5";"1,4";"12,7%";"3,4";"-23,3%";"-29,8%";
"2568";"Asmodee";"Sverige";"ASMDEE B";"Sällanköpsvaror";"22747,6";"51,0";;"0,87";"1,1";"12,9";"1,5";"14,0";"2,2%";"1,7%";"42,8%";"11,9%";"2,5%";"8";"1,8";;"1,4";"-6,6%";"-18,9%";"3,4%"
"713";"Aspo";"Finland";"ASPO";"Material";"2336,6";"9,2";"0,0";"0,50";"1,3";"13,0";"0,9";"8,0";"14,2%";"7,1%";"103,1%";"7,0%";"4,9%";"7";"1,7";"-10,0%";"3,6";"1,5%";"8,9%";"32,8%"
"794";"Aspocomp";"Finland";"ACG1V";"Informationsteknik";"383,4";"75,3";"0,7";"0,67";"1,7";"35,4";"0,8";"17,7";"2,2%";"2,1%";"51,3%";"2,4%";"1,1%";"6";"2,0";"-0,8%";"0,4";"-5,2%";"-7,7%";"-12,8%"
"17";"Assa Abloy";"Sverige";"ASSA B";"Industri";"359918,3";"24,5";"-4,1";"1,01";"3,5";"18,3";"2,8";"43,6";"14,5%";"9,2%";"42,6%";"15,2%";"9,6%";"7";"1,0";"8,1%";"2,2";"-9,1%";"-1,8%";"4,5%"
"18";"AstraZeneca";"Sverige";"AZN";"Hälsovård";"2732804,0";"28,9";"0,6";"0,69";"6,1";"23,3";"5,4";"38,1";"21,0%";"13,2%";"81,9%";"23,4%";"17,4%";"7";"0,9";"9,8%";"1,2";"3,6%";"22,4%";"12,7%"
"2403";"Asuntosalkku";"Finland";"ASUNTO";"Finans & Fastighet";"852,8";"-7,4";;"0,23";"0,7";"-145,1";"12,6";"-18,2";"-9,0%";"-4,0%";"80,4%";"-8,7%";"-59,3%";;"0,9";;"-148,6";"-1,3%";"-3,7%";"4,0%"
"1021";"Atea";"Norge";"ATEA";"Informationsteknik";"16344,7";"17,9";"1,4";"0,48";"3,5";"10,7";"0,2";"20,1";"19,3%";"17,5%";"18,4%";"2,3%";"1,5%";"9";"0,9";"8,8%";"-0,5";"-11,5%";"-2,5%";"7,5%"
"1447";"Athanase Innovation";"Sverige";"ATIN";"Finans & Fastighet";"306,8";"-5,3";;"-0,57";"0,7";"-1,0";"1,7";"-4,4";"-13,5%";"-32,2%";"100,3%";"-174,0%";"-156,3%";;"5,1";"79,4%";;"-11,7%";"-26,4%";"-20,5%"
"1219";"Atlantic Petroleum";"Danmark";"ATLA DKK";"Energi";"93,0";"522,9";"5,2";"-1,83";"-0,4";"-27,4";;"-225,1";"-0,1%";"-0,1%";;;;"2";"0,0";;"-16,0";"493,1%";"429,0%";"574,9%"
"1705";"Atlantic Sapphire";"Norge";"ASA";"Dagligvaror";"177,3";"-0,0";;"-3,56";"0,0";"-0,3";"2,3";"-0,0";"-51,9%";"-46,7%";"-353,0%";"-761,0%";"-801,9%";"2";"1,4";"0,6%";"-0,5";"-34,0%";"-36,5%";"1,1%"
"19";"Atlas Copco A";"Sverige";"ATCO A";"Industri";"782279,8";"29,3";"-2,7";"1,42";"7,0";"23,3";"4,7";"51,8";"23,9%";"20,2%";"42,9%";"20,3%";"15,7%";"5";"1,6";"6,0%";"0,4";"-3,0%";"-1,2%";"-10,8%"
"709";"Atria";"Finland";"ATRAV";"Dagligvaror";"5366,4";"11,8";"5,6";"0,50";"1,1";"10,9";"0,4";"6,9";"8,9%";"5,7%";"10,9%";"3,5%";"2,2%";"7";"1,0";"2,2%";"1,7";"13,8%";"29,4%";"45,5%"
"20";"Atrium Ljungberg";"Sverige";"ATRLJ B";"Finans & Fastighet";"21002,3";"20,2";"-1,5";"0,60";"0,7";"37,1";"14,1";"-14,9";"3,7%";"1,8%";"61,7%";"37,9%";"30,1%";;"0,4";"3,2%";"20,9";"-3,5%";"-1,1%";"-7,8%"
"1675";"Attana";"Sverige";"ATANA";"Hälsovård";"18,1";"-1,6";;"3,39";"0,9";"-1,7";"7,2";"-2,2";"-57,9%";"-60,9%";"-20,4%";"-430,0%";"-446,3%";"2";"1,7";"-31,2%";;"-30,0%";"-58,8%";"16,7%"
"920";"Attendo";"Sverige";"ATT";"Hälsovård";"15452,2";"18,6";"0,2";"0,48";"2,8";"16,6";"1,6";"6,0";"14,9%";"4,2%";"100,0%";"9,6%";"4,3%";"9";"0,8";"9,4%";"3,9";"26,5%";"46,0%";"65,9%"
"2427";"Aurskog Sparebank";"Norge";"AURG";"Finans & Fastighet";"1276,1";"14,2";"4,3";"0,01";"1,4";"10,8";"9,5";"42,1";"10,0%";"1,2%";"110,8%";"88,1%";"67,1%";;;"10,3%";;"5,5%";"10,7%";"3,5%"
"1042";"Austevoll Seafood";"Norge";"AUSS";"Dagligvaror";"21381,0";"46,2";"-0,6";"0,50";"0,7";"10,0";"0,7";"6,9";"1,6%";"1,2%";"43,8%";"7,5%";"1,1%";"6";"2,0";"8,1%";"1,7";"9,1%";"6,3%";"3,1%"
"21";"Autoliv";"Sverige";"ALIV SDB";"Sällanköpsvaror";"73281,4";"10,5";"0,5";"0,74";"3,0";"8,7";"0,9";"10,6";"28,5%";"17,9%";"19,2%";"10,1%";"6,8%";"7";"1,0";"6,9%";"1,2";"-15,8%";"-19,6%";"4,1%"
"2285";"Autostore";"Norge";"AUTO";"Industri";"36196,8";"42,5";"-1,1";"0,94";"2,3";"26,1";"6,8";"75,6";"5,3%";"4,6%";"72,4%";"26,0%";"15,2%";"5";"2,6";"-2,7%";"0,9";"-1,5%";"10,3%";"-7,8%"
"22";"Avanza Bank";"Sverige";"AZA";"Finans & Fastighet";"53772,3";"20,6";"1,3";"0,82";"6,8";"17,5";"12,0";"6,8";"32,9%";"0,6%";"72,6%";"68,5%";"58,0%";;;"14,8%";;"-2,7%";"-1,0%";"6,7%"
"263";"Avensia";"Sverige";"AVEN";"Informationsteknik";"260,6";"12,1";"0,4";"0,26";"6,0";"8,1";"0,6";"6,4";"50,2%";"52,9%";"88,8%";"7,5%";"5,1%";"9";"1,3";"-0,6%";"-0,1";"-12,5%";"-29,1%";"-29,7%"
"1159";"Awilco LNG";"Norge";"ALNG";"Energi";"495,6";"-4,3";;"0,42";"0,4";"211,6";"5,1";"2,8";"-8,9%";"-4,0%";"47,8%";"2,4%";"-26,9%";"3";"1,2";"-6,9%";"10,0";"7,4%";"-1,5%";"20,4%"
"2151";"Avsalt Group";"Sverige";"AVSALT";"Industri";"4,9";"-0,9";;"-0,57";"0,9";"-0,9";;"-0,9";"-105,3%";"-110,4%";;;;;"0,3";"-100,0%";;"-17,8%";"-61,7%";"-65,8%"
"264";"Avtech";"Sverige";"AVT B";"Informationsteknik";"405,5";"23,9";"0,7";"0,36";"6,9";"22,5";"7,8";"33,5";"29,1%";"69,1%";"100,0%";"34,8%";"35,9%";"7";"9,5";"30,4%";"-1,5";"-12,2%";"-37,6%";"1,4%"
"1088";"Axactor";"Norge";"ACR";"Finans & Fastighet";"2122,4";"4,8";"0,0";"0,73";"0,5";"7,8";"3,8";"1,2";"9,8%";"3,2%";"98,8%";"48,5%";"13,9%";;"0,8";"2,5%";"6,1";"-7,6%";"-13,7%";"55,7%"
"24";"Axfood";"Sverige";"AXFO";"Dagligvaror";"69238,0";"29,5";"4,5";"0,26";"9,2";"23,4";"0,9";"13,8";"29,9%";"10,7%";"14,7%";"4,0%";"2,6%";"9";"0,7";"6,7%";"1,9";"10,9%";"8,5%";"35,9%"
"369";"aXichem";"Sverige";"AXIC A";"Material";"109,4";"-5,4";;"0,44";"1,8";"-5,3";"5,0";"-6,0";"-33,4%";"-35,4%";"-6,6%";"-94,8%";"-95,6%";"2";"1,8";"54,4%";;"-27,3%";"-50,3%";"30,8%"
"1754";"Axolot Solutions";"Sverige";"AXOLOT";"Industri";"108,8";"-17,1";;"-0,05";"1,3";"-15,0";"8,4";"-17,8";"-7,6%";"-9,1%";"58,1%";"-56,0%";"-56,1%";"1";"5,5";"89,4%";;"10,6%";"-27,8%";"-37,6%"
"1955";"Ayfie";"Norge";"AIX";"Informationsteknik";"103,8";"-3,5";;"0,29";"9,0";"-2,8";"4,1";"-3,3";"-254,6%";;"95,5%";"-147,3%";"-146,2%";"3";"2,0";"-13,9%";;"6,1%";"-10,4%";"6,3%"
"2595";"B Treasury Capital";"Sverige";"BTC B";"Informationsteknik";"115096,7";;;;;;;;;;;;;"1";;;;"-13,3%";"-51,9%";
"1343";"B2 Impact";"Norge";"B2I";"Finans & Fastighet";"8862,3";"13,8";"0,1";"0,46";"1,5";"10,6";"4,9";"7,4";"10,9%";"3,9%";"61,2%";"45,9%";"16,4%";;"1,4";"2,8%";"5,4";"37,0%";"34,6%";"127,5%"
"1313";"B3 Consulting";"Sverige";"B3";"Informationsteknik";"322,6";"29,5";"-0,3";"0,17";"1,5";"12,2";"0,5";"-13,8";"4,2%";"2,1%";"100,0%";"4,0%";"0,9%";"7";"1,2";"1,7%";"3,2";"-16,7%";"-32,3%";"-43,4%"
"377";"Bactiguard";"Sverige";"BACTI B";"Hälsovård";"544,9";"-70,7";;"0,45";"1,7";"-199,8";"3,1";"-75,6";"-2,5%";"-1,8%";"85,5%";"-1,5%";"-3,6%";"3";"1,7";"-5,2%";"2,7";"-15,7%";"-35,2%";"-49,0%"
"2074";"BactiQuant";"Danmark";"BACTIQ";"Industri";"158,6";"-7,6";;"0,61";"6,1";"-7,6";"11,5";"-10,0";"-80,1%";"-219,9%";"-26,4%";"-150,2%";"-166,3%";"2";"6,0";"-12,4%";;"-13,8%";"9,4%";"-22,2%"
"520";"Bahnhof";"Sverige";"BAHN B";"Telekommunikation";"5496,6";"30,4";"-1,7";"0,30";"10,2";"21,0";"2,3";"32,0";"33,2%";"119,2%";"29,0%";"10,8%";"8,0%";"5";"1,3";"8,6%";"-1,3";"-3,0%";"-17,4%";"-1,2%"
"969";"Bakkafrost";"Norge";"BAKKA";"Dagligvaror";"27857,6";"32,5";"-1,7";"0,50";"1,5";"24,5";"3,1";"-301,7";"4,7%";"2,9%";"67,7%";"12,7%";"7,4%";"4";"6,6";"-0,6%";"2,8";"-12,6%";"-5,3%";"-15,6%"
"1517";"Balco Group";"Sverige";"BALCO";"Industri";"322,3";"-9,2";;"0,46";"0,4";"-37,7";"0,5";"-9,5";"-4,9%";"-3,1%";"12,3%";"-1,4%";"-2,8%";"3";"1,6";"-1,0%";"13,9";"-23,9%";"-38,6%";"-57,8%"
"1597";"Baltic Sea Properties";"Norge";"BALT";"Finans & Fastighet";"437,1";"9,3";"-0,6";"0,12";"0,7";"11,3";"10,4";"2111,3";"7,1%";"3,3%";"100,0%";"92,0%";"42,6%";;"1,3";"150,0%";"6,9";"-10,5%";"-17,3%";"-7,9%"
"1450";"Bambuser";"Sverige";"BUSER";"Informationsteknik";"183,5";"-1,4";;"0,32";"1,7";"-0,5";"0,7";"-2,0";"-120,1%";;"85,2%";"-138,1%";"-136,0%";"2";"2,6";"-26,4%";;"83,7%";"-4,2%";"31,9%"
"1029";"Bang & Olufsen";"Danmark";"BO";"Sällanköpsvaror";"2073,4";"-15,4";;"0,77";"1,3";"-30,5";"0,6";"-196,2";"-8,7%";"-8,1%";"56,9%";"-1,9%";"-3,6%";"4";"1,3";"-3,1%";"0,4";"-30,2%";"-32,7%";"-35,3%"
"2264";"Barramundi";"Norge";"BARRA";"Dagligvaror";"162,6";"-0,3";;"-0,58";"0,2";"-1,4";"0,7";"-0,2";"-52,5%";"-35,4%";"23,7%";"-52,8%";"-50,4%";"2";"1,8";"15,2%";"-1,3";"53,1%";"54,1%";"12,5%"
"1190";"Bavarian Nordic";"Danmark";"BAVA";"Hälsovård";"21985,3";"10,4";"0,3";"0,82";"1,1";"6,2";"1,8";"60,5";"10,7%";"11,8%";"48,8%";"28,9%";"22,0%";"8";"4,2";"25,6%";"-1,3";"-2,9%";"-20,5%";"10,7%"
"2376";"Bawat Water";"Sverige";"BAWAT";"Industri";"79,9";"-3,8";;"0,00";"-2,9";"-6,1";"4,7";"-3,4";;"-577,1%";"58,7%";"-77,6%";"-99,4%";"2";"0,2";"10,4%";"-1,3";"-9,5%";"-32,0%";"-8,1%"
"27";"BE Group";"Sverige";"BEGR";"Industri";"457,3";"-0,7";;"0,44";"0,5";"-1,8";"0,3";"-28,5";"-55,6%";"-36,0%";"10,1%";"-14,9%";"-13,7%";"4";"1,8";"-17,0%";"-48,2";"-13,0%";"-12,5%";"-47,8%"
"2373";"BeammWave";"Sverige";"BEAMMW B";"Informationsteknik";"404,9";"-12,7";;"0,76";"3,0";"-12,9";"125,4";"-10,6";"-18,7%";"-46,8%";"-238,1%";"-973,0%";"-956,5%";"2";"12,1";;;"26,1%";"11,4%";"102,7%"
"29";"Beijer Alma";"Sverige";"BEIA B";"Industri";"14041,0";"24,7";"-1,2";"1,09";"3,2";"17,7";"2,2";"108,0";"12,6%";"7,7%";"30,9%";"12,3%";"7,3%";"6";"2,0";"9,7%";"2,1";"-19,7%";"-11,1%";"15,6%"
"28";"Beijer Ref";"Sverige";"BEIJ B";"Industri";"66512,1";"28,5";"5,7";"1,15";"3,0";"21,2";"2,1";"45,1";"10,6%";"8,4%";;"9,7%";"6,3%";"7";"1,5";"17,9%";"2,1";"-11,7%";"-16,1%";"-16,5%"
"494";"Beowulf Mining";"Sverige";"BEO SDB";"Material";"54,7";"-0,6";;"0,71";"0,1";"-0,5";;;"-17,2%";"-18,2%";;;;;"0,9";;;"-41,6%";"-34,1%";"-75,4%"
"2162";"Bergen Carbon";"Norge";"BCS";"Industri";"141,4";"-3,4";;"-0,17";"0,9";"-0,3";;"-4,6";"-27,9%";"-231,1%";;;;"2";"14,6";"-100,0%";;"-8,7%";"-19,1%";"8,5%"
"26";"Bergman & Beving";"Sverige";"BERG B";"Industri";"7586,1";"36,9";"-28,0";"0,72";"4,1";"25,0";"1,9";"123,7";"10,5%";"4,5%";"48,1%";"7,5%";"4,0%";"6";"1,7";"1,8%";"2,7";"-13,5%";"-20,9%";"-5,6%"
"436";"Berner Industrier";"Sverige";"BERNER B";"Industri";"1811,6";"25,1";"0,3";"1,11";"5,8";"19,3";"1,9";"33,6";"23,0%";"17,8%";"41,9%";"9,9%";"7,2%";"7";"1,3";"5,9%";"0,7";"-1,5%";"37,3%";"135,7%"
"2197";"Besqab";"Sverige";"BESQAB";"Finans & Fastighet";"2858,1";"-22,8";;"0,21";"0,9";"-52,4";"5,7";"-2,0";"-3,8%";"-3,9%";"12,5%";"-11,0%";"-13,5%";;"1,7";"233,4%";"-24,6";"-6,4%";"17,0%";"8,3%"
"2339";"Betolar";"Finland";"BETOLAR";"Industri";"253,6";"-3,7";;"0,44";"10,2";"-4,2";"26,1";"-7,3";"-274,8%";"-63,4%";"226,0%";"-617,3%";"-643,2%";"2";"5,8";"48,8%";"-0,6";"1,0%";"-12,9%";"46,9%"
"32";"Betsson";"Sverige";"BETS B";"Sällanköpsvaror";"14023,2";"7,0";"-4,6";"0,56";"1,4";"4,3";"0,9";"7,6";"19,8%";"23,1%";"63,1%";"21,1%";"14,8%";"7";"2,2";"15,5%";"-0,5";"-32,4%";"-35,8%";"-37,9%"
"1694";"Better Collective";"Sverige";"BETCO";"Sällanköpsvaror";"8490,1";"32,6";"-1,4";"0,88";"1,2";"20,8";"3,1";"47,5";"3,7%";"2,4%";"69,7%";"15,1%";"7,0%";"5";"1,6";"7,7%";"3,0";"29,6%";"22,6%";"24,8%"
"2520";"Better Collective";"Danmark";"BETCO DKK";"Sällanköpsvaror";"8858,7";"32,6";"-1,4";"0,76";"1,2";"20,8";"3,2";"47,6";"3,7%";"2,4%";"69,7%";"15,1%";"7,0%";"5";"1,6";"7,7%";"3,0";"31,1%";"25,2%";"27,8%"
"1965";"BEWi";"Norge";"BEWI";"Material";"3347,3";"-6,5";;"0,63";"0,6";"191,4";"0,9";"10,8";"-9,2%";"-4,6%";"64,9%";"0,5%";"-5,3%";"5";"1,5";"-8,8%";"5,6";"-19,6%";"-22,0%";"-42,8%"
"1770";"Beyond Frames";"Sverige";"BEYOND";"Sällanköpsvaror";"105,1";"-10,4";;"0,28";"1,6";"-14,3";"0,8";"-8,7";"-15,4%";"-16,8%";"52,8%";"-5,3%";"-7,7%";"3";"0,8";"73,7%";"-0,3";"-22,7%";"-37,3%";"-40,1%"
"1677";"BHG Group";"Sverige";"BHG";"Sällanköpsvaror";"4212,0";"29,0";"0,2";"0,99";"0,7";"16,1";"0,6";"8,8";"2,4%";"1,8%";"25,4%";"3,7%";"1,4%";"6";"0,9";"-7,6%";"2,5";"-23,5%";"-15,3%";"7,9%"
"1553";"BiBBInstruments";"Sverige";"BIBB";"Hälsovård";"60,7";"-4,0";;"0,61";"1,6";"-3,7";"136,0";"-3,4";"-38,8%";"-46,4%";"16,2%";"-3658,4%";"-3643,4%";"1";"3,5";;;"-51,5%";"-62,7%";"-39,9%"
"1376";"BICO Group";"Sverige";"BICO";"Hälsovård";"1193,4";"-0,8";;"0,64";"0,7";"-1,1";"1,0";"1,5";"-90,6%";"-188,6%";"52,1%";"-86,3%";"-105,8%";"5";"1,3";"-12,6%";"-13,4";"-8,5%";"-19,7%";"-58,4%"
"2493";"Bien Sparebank";"Norge";"BIEN";"Finans & Fastighet";"848,3";"13,4";"11,9";"0,16";"1,1";"10,0";"6,1";"-4,5";"8,5%";"1,1%";"91,2%";"61,3%";"48,4%";;;"12,6%";;"-8,2%";"4,3%";"5,1%"
"33";"Bilia";"Sverige";"BILI A";"Sällanköpsvaror";"11719,7";"14,8";"1,0";"1,03";"2,2";"15,5";"0,5";"5,4";"15,2%";"5,6%";"16,6%";"3,1%";"1,9%";"8";"1,2";"4,6%";"3,0";"-6,8%";"5,0%";"-11,5%"
"34";"Billerud";"Sverige";"BILL";"Material";"17909,6";"25,2";"-0,4";"0,87";"0,6";"19,5";"0,6";"32,4";"2,6%";"2,0%";"47,8%";"3,0%";"1,8%";"5";"1,3";"-1,7%";"1,5";"-22,2%";"-15,6%";"-37,0%"
"389";"BIMobject";"Sverige";"BIM";"Informationsteknik";"603,2";"-9,7";;"0,49";"3,7";"-6,7";"2,7";"-38,3";"-37,5%";"-51,4%";"54,5%";"-40,0%";"-35,9%";"1";"2,0";"8,4%";;"-17,5%";"-30,4%";"-39,4%"
"299";"Binero Group";"Sverige";"BINERO";"Informationsteknik";"289,5";"-5,3";;"-0,23";"2,3";"-9,5";"0,6";"-3,3";"-40,8%";"-36,8%";"32,7%";"-6,5%";"-10,4%";"2";"0,7";"66,7%";"-0,9";"-8,7%";"-13,9%";"-11,8%"
"1538";"BioArctic";"Sverige";"BIOA B";"Hälsovård";"26828,6";"26,2";"0,0";"1,00";"13,6";"19,6";"12,3";"50,0";"52,0%";"100,8%";"97,0%";"63,0%";"51,1%";"6";"4,8";"106,1%";"-1,7";"-4,8%";"4,9%";"44,4%"
"1933";"Bioextrax";"Sverige";"BIOEX";"Material";"116,2";"-5,6";;"0,28";"5,5";"-5,5";"130,7";"-4,4";"-83,5%";"-449,1%";"6,7%";"-2356,5%";"-2338,8%";"1";"1,6";"24,2%";;"26,8%";"-20,8%";"-0,4%"
